video_id,title,url,name,score,second,frame,text
7KGlsS7uglo,Свои | 4 сезон | 9 серия | Пропащий человек,https://www.youtube.com/watch?v=7KGlsS7uglo,Егор Смирнов,1.0,2367.0,credits_scan/frames/7KGlsS7uglo/frame_0037.jpg,ВТОРОЙ ОПЕРАТОР — ДАНИИЛ ЗПОБИН ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — МИХАИЙ ТАРАСОВ _ ДАНИИЛ ЧУБЕНКО АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
7KGlsS7uglo,Свои | 4 сезон | 9 серия | Пропащий человек,https://www.youtube.com/watch?v=7KGlsS7uglo,Егор Смирнов,1.0,2369.0,credits_scan/frames/7KGlsS7uglo/frame_0038.jpg,ВТОРОЙ ОПЕРАТОР ДАНИИЛ ЗЛОБИН ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — МИХАИЙ ТАРАСОВ _ ДАНИИЛ ЧУБЕНКО АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
XvHPhG_r-0o,Свои | 4 сезон | 10 серия | Механик,https://www.youtube.com/watch?v=XvHPhG_r-0o,Егор Смирнов,1.0,2325.0,credits_scan/frames/XvHPhG_r-0o/frame_0037.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ЕПИЗАВЕТА ЧАЙКОВСКАЯ ФОКУС-ПУППЕРЫ / МЕХАНИКИ — АРТЁМ ПЕТРОСЯН АЛЕКСАНДР ПРОХОРОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ФИЛИПП БОГДАНОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
XvHPhG_r-0o,Свои | 4 сезон | 10 серия | Механик,https://www.youtube.com/watch?v=XvHPhG_r-0o,Егор Смирнов,1.0,2327.0,credits_scan/frames/XvHPhG_r-0o/frame_0038.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ЕПИЗАВЕТА ЧАЙКОВСКАЯ ФОКУС-ПУППЕРЫ / МЕХАНИКИ — АРТЁМ ПЕТРОСЯН АЛЕКСАНДР ПРОХОРОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ФИЛИПП БОГДАНОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
JrzWIAuCnoI,Свои | 4 сезон | 11 серия | Дом восхода,https://www.youtube.com/watch?v=JrzWIAuCnoI,Егор Смирнов,1.0,2373.0,credits_scan/frames/JrzWIAuCnoI/frame_0037.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — ОЛЕГ МАРКИН ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
JrzWIAuCnoI,Свои | 4 сезон | 11 серия | Дом восхода,https://www.youtube.com/watch?v=JrzWIAuCnoI,Егор Смирнов,1.0,2375.0,credits_scan/frames/JrzWIAuCnoI/frame_0038.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — ОЛЕГ МАРКИН ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
krbGiZocYeM,Свои | 4 сезон | 12 серия | Золотой рожок,https://www.youtube.com/watch?v=krbGiZocYeM,Егор Смирнов,1.0,2385.0,credits_scan/frames/krbGiZocYeM/frame_0037.jpg,ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ _ _ МАКСИМ ОКУЛОВСКИИ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА ВИКТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
krbGiZocYeM,Свои | 4 сезон | 12 серия | Золотой рожок,https://www.youtube.com/watch?v=krbGiZocYeM,Егор Смирнов,1.0,2387.0,credits_scan/frames/krbGiZocYeM/frame_0038.jpg,ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ р _ МАКСИМ ОКУЛОВСКИИ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
o2aWctVIjjE,Свои | 4 сезон | 13 серия | Стечение обстоятельств,https://www.youtube.com/watch?v=o2aWctVIjjE,Егор Смирнов,1.0,2335.0,credits_scan/frames/o2aWctVIjjE/frame_0037.jpg,ВТОРОЙ ОПЕРАТОР — ДАНИИЛ ЗПОБИН ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — МИХАИЙ ТАРАСОВ _ ДАНИИЛ ЧУБЕНКО АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИПОВ ЗВУКООПЕРАТОР МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЕНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
o2aWctVIjjE,Свои | 4 сезон | 13 серия | Стечение обстоятельств,https://www.youtube.com/watch?v=o2aWctVIjjE,Егор Смирнов,1.0,2337.0,credits_scan/frames/o2aWctVIjjE/frame_0038.jpg,ВТОРОЙ ОПЕРАТОР — ДАНИИЛ ЗПОБИН ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — МИХАИЙ ТАРАСОВ _ ДАНИИЛ ЧУБЕНКО АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИВАН ПЫСЕНКО ОСВЕТИТЕТЬ — АЛЕКСАНДР САКС ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИПОВ ЗВУКООПЕРАТОР МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
